iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
0,100000,-20.131782945736433,258,476.45469128261504,524.7088643979987,-20.151898734177216,79,1217.7285937384095,82.12010501699842
1,100000,-19.065,200,390.1878171324131,640.7170829610004,-14.707317073170731,41,1220.744320352241,81.91723552000258
2,100000,-17.714285714285715,154,406.5791149076162,614.8864780149997,-13.155555555555555,45,1270.0919436545248,78.73445737500151
3,100000,-13.85344827586207,116,390.42991455198853,640.3197877059974,-11.095238095238095,42,1255.365842830174,79.65805392199763
4,100000,-9.304878048780488,82,406.4174204111975,615.1311126059991,-4.827586206896552,29,1259.9330047162384,79.3692994990015
5,100000,-5.972602739726027,73,380.72264559119515,656.6459938619992,-9.277777777777779,36,1341.3067628432095,74.55416074099776
6,100000,-5.094594594594595,74,380.8526366902956,656.4218700769998,-8.266666666666667,30,1259.1598138307777,79.41803645699838
7,100000,-3.7222222222222223,72,387.59119042180583,645.009500158998,-2.933333333333333,30,1323.8880291940434,75.53508891599995
8,100000,-3.175675675675676,74,391.36636828092804,638.7876431439981,-1.625,32,1328.2857482934512,75.28500560099928
9,100000,-1.125,72,356.01601829885976,702.2155946650018,1.8518518518518519,27,1273.4912241384397,78.52429455699894
